FECHA DE EMISION,PAGADOR,Nº DE CUIT,Razón Social,Establecimiento,Total Presentado,Total Descuento,Saldo,IVA 21%,"IVA 10,5%",Retención IB,Percepción AFIP,Archivo PDF
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,WILLIAMSBURG BELGRANO,"8.896.680,00","498.824,54",8397855.46,25354.55,No encontrado,349910.45,2823.14,comprobante-MEN-COM00934902410073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,WILLIAMSBURG BELGRANO,"53.800,00","2.934,90",50865.1,141.54,No encontrado,2119.36,No encontrado,comprobante-MEN-COM00934902580073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,WILLIAMSBURG BELGRANO,"371.300,00","25.718,88",345581.12,1949.31,No encontrado,14399.17,87.9,comprobante-MEN-COM00934902820073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,WILLIAMSBURG BELGRANO,"2.216.500,00","130.851,69",2085648.31,7556.58,No encontrado,86901.82,408.89,comprobante-MEN-COM00934902900073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,FABRIC SUSHI,"59.609.752,28","7.562.079,71",52047672.57,176241.86,No encontrado,2239631.59,26395.37,comprobante-MEN-COM00934913630073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,FABRIC SUSHI,"20.900,00","1.272,99",19627.01,79.0,No encontrado,817.79,No encontrado,comprobante-MEN-COM00934913710073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,FABRIC SUSHI,"97.955,00","4.596,40",93358.6,187.0,No encontrado,3518.9,No encontrado,comprobante-MEN-COM00934913970073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,FABRIC SUSHI,"6.940.390,43","473.659,79",6466730.64,34921.79,No encontrado,267396.08,5047.3,comprobante-MEN-COM00934914050073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,FABRIC SUSHI,"10.330.509,41","604.925,50",9725583.91,36112.04,No encontrado,392873.02,3977.14,comprobante-MEN-COM00934914130073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,TALLARICA,"18.357.045,00","1.035.716,29",17321328.71,53324.2,No encontrado,721643.63,6822.84,comprobante-MEN-COM00934922880073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,TALLARICA,"29.100,00","1.619,10",27480.9,82.27,No encontrado,1145.03,No encontrado,comprobante-MEN-COM00934922960073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,TALLARICA,"1.850.183,33","128.739,50",1721443.83,9713.42,No encontrado,71726.73,1044.77,comprobante-MEN-COM00934923200073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PERSEO Y CO SA,TALLARICA,"4.401.400,00","264.863,36",4136536.64,15857.62,No encontrado,172355.4,1136.74,comprobante-MEN-COM00934923380073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,BAYONNA SA,IMAGINA BOCHA,"8.333.700,00","290.582,72",8043117.28,28431.85,No encontrado,122749.57,4011.46,comprobante-MEN-COM00937451720073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,BAYONNA SA,IMAGINA BOCHA,"120.000,00","5.375,54",114624.46,630.0,No encontrado,1745.54,No encontrado,comprobante-MEN-COM00937452140073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,BAYONNA SA,IMAGINA BOCHA,"1.866.200,00","69.181,10",1797018.9,7104.8,No encontrado,27420.66,823.19,comprobante-MEN-COM00937452220073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,BAYONNA SA,ART IN THE DARK,"4.702.100,00","174.254,43",4527845.57,17796.6,No encontrado,69197.73,2514.28,comprobante-MEN-COM00937457920073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,BAYONNA SA,ART IN THE DARK,"201.000,00","9.152,53",191847.47,1055.25,No encontrado,2921.53,150.75,comprobante-MEN-COM00937458340073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,BAYONNA SA,ART IN THE DARK,"820.000,00","32.583,30",787416.7,3508.95,No encontrado,12045.95,319.11,comprobante-MEN-COM00937458420073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"18.769.300,00","777.136,62",17992163.38,84806.84,No encontrado,276634.4,11853.1,comprobante-MEN-COM00937459820073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"50.000,00","1.684,40",48315.6,164.64,No encontrado,735.76,No encontrado,comprobante-MEN-COM00937459900073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"526.100,00","23.897,21",502202.79,2762.02,No encontrado,7647.74,334.95,comprobante-MEN-COM00937460220073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"5.650.800,00","233.388,98",5417411.02,25507.01,No encontrado,83031.75,3388.05,comprobante-MEN-COM00937460300073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA CAFETERIA,"2.888.900,00","93.686,73",2795213.27,8692.69,No encontrado,42566.61,1033.63,comprobante-MEN-COM00941118200073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA CAFETERIA,"7.500,00","273,39",7226.61,28.35,No encontrado,110.04,No encontrado,comprobante-MEN-COM00941118380073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA CAFETERIA,"142.500,00","6.383,45",136116.55,748.12,No encontrado,2072.83,No encontrado,comprobante-MEN-COM00941118610073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA CAFETERIA,"1.532.100,00","55.356,54",1476743.46,5611.76,No encontrado,22488.37,533.61,comprobante-MEN-COM00941118790073032025-03-31.pdf
31/03/2025,034 BANCO PATAGONIA S.A.,30-50000661-3,CAMPOLUOGO SA,FOUR KIDS,"0,00","40.794,76",40794.76,6908.79,No encontrado,No encontrado,986.97,comprobante-MEN-COM00960180310343352025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"65.175.700,00","2.362.586,83",62813113.17,237426.66,No encontrado,960792.26,33764.41,comprobante-MEN-COM00962030050073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"105.500,00","3.659,86",101840.14,366.03,No encontrado,1550.83,No encontrado,comprobante-MEN-COM00962030130073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"4.739.400,00","215.765,30",4523634.7,24881.83,No encontrado,68887.81,3510.66,comprobante-MEN-COM00962030470073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CRUZZAPOLO SA,CRUZA POLO,"22.505.600,80","848.780,04",21656820.76,87796.22,No encontrado,330452.26,12453.9,comprobante-MEN-COM00962030540073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,RISSOLAR PILAR S.A.,LA MALA,"3.817.015,00","219.824,03",3597190.97,20039.31,No encontrado,92235.61,12123.74,comprobante-MEN-COM00962861820073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,VOLTA,"689.500,00","42.271,34",647228.66,4319.63,No encontrado,16967.14,414.86,comprobante-MEN-COM00963996540073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,VOLTA,"26.000,00","1.416,83",24583.17,136.5,No encontrado,630.33,No encontrado,comprobante-MEN-COM00963997200073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,VOLTA,"83.500,00","6.480,28",77019.72,757.71,No encontrado,2046.64,67.74,comprobante-MEN-COM00963997530073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,TALLARICA,"681.360,00","41.066,39",640293.61,4152.47,No encontrado,16729.37,410.79,comprobante-MEN-COM00979779040073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,TALLARICA,"6.300,00","343,30",5956.7,33.07,No encontrado,152.73,No encontrado,comprobante-MEN-COM00979779530073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,TALLARICA,"176.300,00","11.932,89",164367.11,1302.52,No encontrado,4324.22,103.51,comprobante-MEN-COM00979779610073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,BAYONNA SA,IMAGINA BOCHA,"48.000,00-","1.742,40-",46257.6,No encontrado,No encontrado,No encontrado,No encontrado,comprobante-MEN-COM00981898480073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,ESCABECHE SA,MIL VIDAS,"1.084.100,00","48.303,21",1035796.79,3762.57,No encontrado,26404.94,218.7,comprobante-MEN-COM00986091000073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,ESCABECHE SA,MIL VIDAS,"501.789,00","27.518,36",474270.64,2634.38,No encontrado,12160.76,178.5,comprobante-MEN-COM00986091420073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,ESCABECHE SA,MIL VIDAS,"199.400,00","9.285,67",190114.33,753.73,No encontrado,4874.7,68.04,comprobante-MEN-COM00986091590073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CANDIBA SA,EL CLUB DE LA MILANESA,"0,00","105.356,86",105356.86,16547.58,No encontrado,No encontrado,10011.28,comprobante-MEN-COM00998071660073382025-03-31.pdf
